section,category,field_name,field_label,data_type,required,ui_control,conditional_rule,help_text
core_intake,all,appraisal_id,Appraisal Id,string,required,text,,Unique appraisal record ID
core_intake,all,appraisal_date,Appraisal Date,date,required,date,,Date of site visit
core_intake,all,appraiser_name,Appraiser Name,string,required,text,,Field tech/appraiser name
core_intake,all,customer_name,Customer Name,string,required,text,,Owner or seller
core_intake,all,customer_contact,Customer Contact,string,optional,text,,Primary contact details
core_intake,all,site_name,Site Name,string,optional,text,,"Jobsite, yard, or farm name"
core_intake,all,site_address,Site Address,string,required,text,,Inspection location
core_intake,all,asset_category,Asset Category,enum,required,dropdown,,Machine category selected from master list
core_intake,all,make,Make,string,required,text,,Manufacturer
core_intake,all,model,Model,string,required,text,,Model designation
core_intake,all,serial_number,Serial Number,string,required,text,,Serial or PIN
core_intake,all,year,Year,integer,optional,number,,Model year if confirmed
core_intake,all,hours_meter,Hours Meter,decimal,required,number,,Displayed operating hours
core_intake,all,hours_verified,Hours Verified,boolean,required,checkbox,,Whether meter believed accurate
core_intake,all,ownership_type,Ownership Type,enum,required,dropdown,,"Owned, financed, leased, unknown"
core_intake,all,lien_status,Lien Status,enum,optional,dropdown,,"Clear, lien reported, unknown"
core_intake,all,acquisition_path,Acquisition Path,enum,required,dropdown,,Consignment or direct purchase candidate
core_intake,all,running_status,Running Status,enum,required,dropdown,,"Running, partial, non-running"
core_intake,all,can_cold_start,Can Cold Start,boolean,required,checkbox,,Was cold start observed
core_intake,all,emissions_tier,Emissions Tier,enum,optional,dropdown,,Tier/Stage label if visible
core_intake,all,cab_type,Cab Type,enum,required,dropdown,,"Open station, canopy, enclosed cab"
core_intake,all,rops_present,Rops Present,boolean,required,checkbox,,ROPS/FOPS present if applicable
core_intake,all,transport_notes,Transport Notes,text,optional,text,,Only key issues affecting pickup to yard
core_intake,all,service_records_available,Service Records Available,boolean,required,checkbox,,Maintenance records available
core_intake,all,major_rebuild_history,Major Rebuild History,text,optional,text,,"Engine, transmission, hydraulic, UC rebuilds"
core_intake,all,overall_cosmetic_condition,Overall Cosmetic Condition,enum,required,dropdown,,Excellent/Good/Fair/Poor/Inoperable/Not Verified
core_intake,all,marketability_rating,Marketability Rating,enum,required,dropdown,,"Fast sell, average, slow sell, salvage risk"
core_intake,all,photo_set_complete,Photo Set Complete,boolean,required,checkbox,,Required photos captured
core_intake,all,listing_notes,Listing Notes,text,optional,text,,Market-facing descriptive notes
core_intake,all,red_flags_summary,Red Flags Summary,text,optional,text,,Major issues affecting value or listing
component_scoring,Articulated Dump Trucks,engine_score,Engine Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
component_notes,Articulated Dump Trucks,engine_notes,Engine Notes,text,optional,textarea,show when asset_category = Articulated Dump Trucks,"Record defects, leaks, wear, repairs, or missing items"
component_scoring,Articulated Dump Trucks,transmission_score,Transmission Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
component_notes,Articulated Dump Trucks,transmission_notes,Transmission Notes,text,optional,textarea,show when asset_category = Articulated Dump Trucks,"Record defects, leaks, wear, repairs, or missing items"
component_scoring,Articulated Dump Trucks,center_hitch_articulation_score,Center hitch/articulation Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
component_notes,Articulated Dump Trucks,center_hitch_articulation_notes,Center hitch/articulation Notes,text,optional,textarea,show when asset_category = Articulated Dump Trucks,"Record defects, leaks, wear, repairs, or missing items"
component_scoring,Articulated Dump Trucks,hydraulic_system_score,Hydraulic system Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
component_notes,Articulated Dump Trucks,hydraulic_system_notes,Hydraulic system Notes,text,optional,textarea,show when asset_category = Articulated Dump Trucks,"Record defects, leaks, wear, repairs, or missing items"
component_scoring,Articulated Dump Trucks,axles_differentials_score,Axles/differentials Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
component_notes,Articulated Dump Trucks,axles_differentials_notes,Axles/differentials Notes,text,optional,textarea,show when asset_category = Articulated Dump Trucks,"Record defects, leaks, wear, repairs, or missing items"
component_scoring,Articulated Dump Trucks,tires_score,Tires Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
component_notes,Articulated Dump Trucks,tires_notes,Tires Notes,text,optional,textarea,show when asset_category = Articulated Dump Trucks,"Record defects, leaks, wear, repairs, or missing items"
component_scoring,Articulated Dump Trucks,cab_interior_score,Cab/interior Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
component_notes,Articulated Dump Trucks,cab_interior_notes,Cab/interior Notes,text,optional,textarea,show when asset_category = Articulated Dump Trucks,"Record defects, leaks, wear, repairs, or missing items"
component_scoring,Articulated Dump Trucks,body_chassis_score,Body/chassis Score,integer,required,dropdown,show when asset_category = Articulated Dump Trucks,Use shared 0 to 5 condition scale
