table_group,category,field_name,field_label,field_type,required,input_control,allowed_values,description,source,notes
core_intake,all,appraisal_id,Appraisal Id,string,required,text,,Unique appraisal record ID,shared intake,
core_intake,all,appraisal_date,Appraisal Date,date,required,date,,Date of site visit,shared intake,
core_intake,all,appraiser_name,Appraiser Name,string,required,text,,Field tech/appraiser name,shared intake,
core_intake,all,customer_name,Customer Name,string,required,text,,Owner or seller,shared intake,
core_intake,all,customer_contact,Customer Contact,string,optional,text,,Primary contact details,shared intake,
core_intake,all,site_name,Site Name,string,optional,text,,"Jobsite, yard, or farm name",shared intake,
core_intake,all,site_address,Site Address,string,required,text,,Inspection location,shared intake,
core_intake,all,asset_category,Asset Category,enum,required,select,,Machine category selected from master list,shared intake,
core_intake,all,make,Make,string,required,text,,Manufacturer,shared intake,
core_intake,all,model,Model,string,required,text,,Model designation,shared intake,
core_intake,all,serial_number,Serial Number,string,required,text,,Serial or PIN,shared intake,
core_intake,all,year,Year,integer,optional,number,,Model year if confirmed,shared intake,
core_intake,all,hours_meter,Hours Meter,decimal,required,number,,Displayed operating hours,shared intake,
core_intake,all,hours_verified,Hours Verified,boolean,required,checkbox,,Whether meter believed accurate,shared intake,
core_intake,all,ownership_type,Ownership Type,enum,required,select,,"Owned, financed, leased, unknown",shared intake,
core_intake,all,lien_status,Lien Status,enum,optional,select,,"Clear, lien reported, unknown",shared intake,
core_intake,all,acquisition_path,Acquisition Path,enum,required,select,,Consignment or direct purchase candidate,shared intake,
core_intake,all,running_status,Running Status,enum,required,select,,"Running, partial, non-running",shared intake,
core_intake,all,can_cold_start,Can Cold Start,boolean,required,checkbox,,Was cold start observed,shared intake,
core_intake,all,emissions_tier,Emissions Tier,enum,optional,select,,Tier/Stage label if visible,shared intake,
core_intake,all,cab_type,Cab Type,enum,required,select,,"Open station, canopy, enclosed cab",shared intake,
core_intake,all,rops_present,Rops Present,boolean,required,checkbox,,ROPS/FOPS present if applicable,shared intake,
core_intake,all,transport_notes,Transport Notes,text,optional,text,,Only key issues affecting pickup to yard,shared intake,
core_intake,all,service_records_available,Service Records Available,boolean,required,checkbox,,Maintenance records available,shared intake,
core_intake,all,major_rebuild_history,Major Rebuild History,text,optional,text,,"Engine, transmission, hydraulic, UC rebuilds",shared intake,
core_intake,all,overall_cosmetic_condition,Overall Cosmetic Condition,enum,required,select,,Excellent/Good/Fair/Poor/Inoperable/Not Verified,shared intake,
core_intake,all,marketability_rating,Marketability Rating,enum,required,select,,"Fast sell, average, slow sell, salvage risk",shared intake,
core_intake,all,photo_set_complete,Photo Set Complete,boolean,required,checkbox,,Required photos captured,shared intake,
core_intake,all,listing_notes,Listing Notes,text,optional,text,,Market-facing descriptive notes,shared intake,
core_intake,all,red_flags_summary,Red Flags Summary,text,optional,text,,Major issues affecting value or listing,shared intake,
reference_condition_scale,all,condition_scale,Excellent,reference_value,reference,select_option,5,"Low-hour or exceptionally maintained unit. Clean, fully functional, strong cosmetics, no material leaks, no immediate repairs expected.",shared scoring,Score meaning
reference_condition_scale,all,condition_scale,Good,reference_value,reference,select_option,4,"Normal used condition for age/hours. Fully operational with minor wear, minor cosmetic flaws, and no major immediate repair needed.",shared scoring,Score meaning
reference_condition_scale,all,condition_scale,Fair,reference_value,reference,select_option,3,Operational but shows meaningful wear. Multiple defects or deferred maintenance present. Marketability reduced and buyer likely expects repairs.,shared scoring,Score meaning
