logic_type,category,target,rule_expression,rule_action,weight_percent,notes
component_weight,Articulated Dump Trucks,Engine,,,18.69,Weighted condition score contribution
component_weight,Articulated Dump Trucks,Transmission,,,14.02,Weighted condition score contribution
component_weight,Articulated Dump Trucks,Center hitch/articulation,,,9.35,Weighted condition score contribution
component_weight,Articulated Dump Trucks,Hydraulic system,,,14.02,Weighted condition score contribution
component_weight,Articulated Dump Trucks,Axles/differentials,,,9.35,Weighted condition score contribution
component_weight,Articulated Dump Trucks,Tires,,,14.02,Weighted condition score contribution
component_weight,Articulated Dump Trucks,Cab/interior,,,9.35,Weighted condition score contribution
component_weight,Articulated Dump Trucks,Body/chassis,,,11.21,Weighted condition score contribution
red_flag_rule,Articulated Dump Trucks,appraisal_record,structural_damage = true,set management_review_required = true; downgrade marketability one band,,"Cracks, poor repairs, bent frame/body/boom/blade"
red_flag_rule,Articulated Dump Trucks,appraisal_record,active_major_leak = true,set management_review_required = true,,"Major hydraulic, engine, coolant, axle, final drive, or transmission leakage"
red_flag_rule,Articulated Dump Trucks,appraisal_record,missing_serial_plate = true,set hold_for_title_review = true,,Identity risk
red_flag_rule,Articulated Dump Trucks,appraisal_record,running_status = Non-Running,set management_review_required = true; set marketability_rating = Salvage Risk unless overridden,,Non-running unit
red_flag_rule,Articulated Dump Trucks,appraisal_record,hours_verified = false,append review note: verify hours history,,Questionable meter
workflow_rule,Articulated Dump Trucks,submission,photo_set_complete = false,block final submission,,Do not allow completed appraisal without required photos
component_weight,Rigid Frame Dump Trucks,Engine,,,19.61,Weighted condition score contribution
component_weight,Rigid Frame Dump Trucks,Transmission,,,14.71,Weighted condition score contribution
component_weight,Rigid Frame Dump Trucks,Hydraulic hoist,,,9.8,Weighted condition score contribution
component_weight,Rigid Frame Dump Trucks,Axles/suspension,,,9.8,Weighted condition score contribution
component_weight,Rigid Frame Dump Trucks,Frame/chassis,,,9.8,Weighted condition score contribution
component_weight,Rigid Frame Dump Trucks,Tires,,,14.71,Weighted condition score contribution
